epoch,iou_background,iou_monolayer,iou_fewlayer,iou_multilayer
1,0.713994,0.622755,0.398922,0.176643
2,0.963571,0.584224,0.578841,0.973453
3,0.955659,0.623745,0.671044,0.964626
4,0.965672,0.709566,0.786569,0.97665
5,0.961527,0.618227,0.664921,0.974344
6,0.974506,0.797375,0.723238,0.963136
7,0.970234,0.629105,0.613534,0.97385
8,0.971019,0.749191,0.70779,0.967753
9,0.979591,0.832806,0.685373,0.953612
10,0.981845,0.823527,0.728769,0.971621
11,0.978482,0.732005,0.512371,0.962961
12,0.966585,0.695184,0.742157,0.977639
13,0.97997,0.817358,0.793153,0.978353
14,0.985595,0.871516,0.797958,0.978506
15,0.984797,0.840116,0.761583,0.977846
16,0.983116,0.866327,0.803209,0.976404
17,0.983795,0.878512,0.806529,0.975164
18,0.983028,0.870902,0.802841,0.974306
19,0.983051,0.850809,0.787982,0.975717
20,0.98125,0.78383,0.72463,0.976401
21,0.985568,0.868436,0.782148,0.976624
22,0.984789,0.87496,0.811512,0.978395
23,0.984532,0.880491,0.805528,0.975997
24,0.984969,0.874468,0.798718,0.976687
25,0.983145,0.765881,0.692817,0.977243
26,0.982738,0.805152,0.732242,0.97704
27,0.985541,0.881352,0.767212,0.972257
28,0.983724,0.85929,0.798553,0.977856
29,0.985774,0.864067,0.780455,0.976958
30,0.986705,0.869487,0.769607,0.976059
31,0.984524,0.851106,0.771884,0.976003
32,0.983619,0.575418,0.534221,0.977703
33,0.982881,0.809191,0.737496,0.976983
34,0.982861,0.842907,0.783563,0.976655
35,0.983289,0.861307,0.800614,0.976043
36,0.981634,0.83404,0.786233,0.976679
37,0.983821,0.83999,0.767992,0.976341
38,0.983686,0.835173,0.764899,0.976457
39,0.985736,0.856934,0.771082,0.976475
40,0.986628,0.868686,0.780343,0.976943
41,0.985234,0.861944,0.781878,0.976495
42,0.985655,0.851974,0.767166,0.977044
43,0.985848,0.852891,0.772676,0.976957
44,0.985785,0.853292,0.769854,0.977273
45,0.984161,0.842685,0.768054,0.976549
46,0.985651,0.842407,0.746325,0.976135
47,0.984954,0.841396,0.765037,0.977343
48,0.983561,0.834195,0.76714,0.977006
49,0.986197,0.878864,0.796381,0.976637
50,0.986009,0.854147,0.765023,0.97666
51,0.98603,0.87396,0.794389,0.976618
52,0.985803,0.869621,0.793517,0.976888
53,0.986633,0.864849,0.781896,0.977503
54,0.984183,0.838996,0.7684,0.976695
55,0.986764,0.850888,0.755418,0.976985
56,0.985871,0.84499,0.757064,0.977304
57,0.984887,0.840139,0.760041,0.977116
58,0.985869,0.834738,0.74338,0.976937
59,0.986198,0.877455,0.798573,0.976576
60,0.985868,0.859467,0.778391,0.976936
61,0.985705,0.851861,0.77028,0.977055
62,0.984965,0.862429,0.789092,0.97691
63,0.983097,0.790799,0.718208,0.977398
64,0.985777,0.861455,0.771961,0.975854
65,0.985386,0.841159,0.759055,0.977393
66,0.986287,0.865845,0.782102,0.976816
67,0.986075,0.858272,0.77833,0.977303
68,0.985822,0.860643,0.775853,0.976723
69,0.985434,0.850159,0.771005,0.97733
70,0.986006,0.864461,0.775055,0.976953
71,0.986162,0.857831,0.772808,0.977586
72,0.986431,0.874896,0.790457,0.976844
73,0.985319,0.864854,0.79462,0.976943
74,0.986153,0.878148,0.797349,0.976757
75,0.984349,0.870255,0.790358,0.974906
76,0.985394,0.857395,0.776638,0.976508
77,0.985458,0.837776,0.751821,0.977091
78,0.985824,0.864334,0.784779,0.976743
79,0.986665,0.883318,0.79991,0.976894
80,0.985494,0.874034,0.792342,0.976019
81,0.986394,0.87814,0.795537,0.976762
82,0.98507,0.845295,0.768347,0.97694
83,0.983801,0.849794,0.786381,0.976716
84,0.98412,0.860343,0.791722,0.976233
85,0.986833,0.866606,0.776369,0.977341
86,0.985773,0.870517,0.784514,0.976429
87,0.986231,0.866354,0.77873,0.976768
88,0.985713,0.875035,0.791622,0.976374
89,0.986035,0.838684,0.746199,0.977172
90,0.985757,0.837209,0.750706,0.977454
91,0.985844,0.856979,0.776069,0.977308
92,0.985667,0.875915,0.795312,0.976425
93,0.98648,0.891755,0.799728,0.976048
94,0.984365,0.845231,0.774534,0.976849
95,0.985952,0.853053,0.766979,0.976747
96,0.986025,0.858374,0.771335,0.976565
97,0.986977,0.858444,0.763231,0.977497
98,0.986301,0.874688,0.779621,0.975573
99,0.986334,0.856165,0.764983,0.977125
100,0.987186,0.878758,0.793086,0.977356
